Name,Category,Provenance,Average_rating,Download_count,Number_of_comments,View_count,Organization,Business_unit,How_data_collected,Update_frequency,Time_period_Covered,dataset_contains_geospatial,Tags
2013 Bike Normalized Volume,Transportation/Transit,official,0,10,0,0,The City of Calgary,Transportation Planning,null,None,null,Yes,null
2013 Calgary Election Summary Results,Government,official,0,221,0,195,The City of Calgary,City Clerk's Office,null,None,null,No,['election']
2013 Election Results By Station,Government,official,0,345,0,126,The City of Calgary,City Clerk's Office,null,None,null,No,['election']
2013 Election Results by Voting Station,Government,official,0,114,0,100,The City of Calgary,City Clerk's Office,null,None,null,null,"['election', 'vote', 'voting']"
2014 Bike Normalized Volume,Transportation/Transit,official,0,10,0,0,The City of Calgary,Transportation Planning,null,None,null,Yes,null
2014 Bike Normalized Volume,Transportation/Transit,official,0,52,0,53,The City of Calgary,Transportation Planning,null,None,null,Yes,['2014 bike volume']
2015-2018 Operating Budget (Approved November 2014),Government,official,0,91,0,195,The City of Calgary,Finance,null,None,null,null,"['budget', 'action plan', 'finance', 'fiscal']"
2015-2018 Operating Budget Expenditures,Government,official,0,6,0,84,null,null,null,null,null,null,null
2015-2018 Operating Budget Revenues,Government,official,0,7,0,56,null,null,null,null,null,null,null
2015 Normalized Bike 16h Volumes,Transportation/Transit,official,0,24,0,11,The City of Calgary,Transportation Planning,null,Annual,null,Yes,null
2015 Normalized Bike 16h Volumes,Transportation/Transit,official,0,97,0,576,The City of Calgary,Transportation Planning,null,Annual,null,Yes,"['bike', 'volumes', 'cbd', '2015']"
2015 Operating Budget by Department,Government,official,0,6,0,59,null,null,null,null,null,null,null
2015 RTM Road Network Scenario,null,official,0,58,0,109,null,null,null,null,null,null,null
2016 Census of Canada - Citizenship,Demographics,official,0,32,0,118,The City of Calgary,Calgary Neighbourhoods,null,None,2016,Yes,"['citizen', 'federal']"
2016 Census of Canada - Continent of birth of immigrants,Demographics,official,0,31,0,101,The City of Calgary,Calgary Neighbourhoods,null,None,2016,Yes,"['europe', 'asia', 'north america', 'south america', 'africa', 'australia', 'oceania', 'federal']"
2016 Census of Canada - Country of birth of immigrants,Demographics,official,0,62,0,225,The City of Calgary,Calgary Neighbourhoods,null,None,2016,Yes,['federal']
2016 Census of Canada - Household Income,Demographics,official,0,207,0,765,The City of Calgary,Calgary Neighbourhoods,null,None,2016,Yes,['federal']
2016 Census of Canada - Immigrant Admission Category,Demographics,official,0,38,0,82,The City of Calgary,Calgary Neighbourhoods,null,None,2016,Yes,"['citizen', 'federal']"
2016 Census of Canada - Top 5 Languages spoken most often at home by Community,Demographics,official,0,177,0,1162,The City of Calgary,Calgary Neighbourhoods,Federal census,None,2016,Yes,"['language', 'community', 'federal']"
2016 Normalized Bike 16h Volumes,Transportation/Transit,official,0,18,0,0,The City of Calgary,Transportation Planning,null,Annual,null,Yes,null
2016 Normalized Bike 16h Volumes,Transportation/Transit,official,0,73,0,127,The City of Calgary,Transportation Planning,null,Annual,null,Yes,"['2016', 'cbd', 'volumes', 'bike']"
2016 Truck Volume Percentage,Transportation/Transit,official,0,20,0,0,The City of Calgary,Transportation Planning,null,None,null,Yes,null
2016 Truck Volume Percentage,Transportation/Transit,official,0,59,0,248,The City of Calgary,Transportation Planning,null,None,null,Yes,['truck percentage']
2017 Election Results by Voting Station,Government,official,0,9,0,2740,null,null,null,null,null,null,null
2017 Election Results by Ward,Government,official,0,6,0,1639,null,null,null,null,null,null,null
2017 Mayor Election Results by Ward and Voting Station,Government,official,0,5,0,294,null,null,null,null,null,null,null
2017 Normalized Bike 16h Volumes,Transportation/Transit,official,0,36,0,28,The City of Calgary,Transportation Planning,null,Annual,null,Yes,null
2017 Normalized Bike 16h Volumes,Transportation/Transit,official,0,97,0,423,The City of Calgary,Transportation Planning,null,Annual,null,Yes,"['2017', 'bike', 'volumes']"
2017 Official Election Results by Voting Station,Government,official,0,778,0,9307,The City of Calgary,City Clerk's Office,null,None,null,null,"['election', 'vote', 'voting']"
2018 Citizen Satisfaction Survey - Perception of Services,Services and Amenities,official,0,25,0,47,The City of Calgary,Customer Service and Communications,Cellphone and landline,null,null,No,"['service value', 'services', 'satisfaction', 'citizen satisfaction', 'surveys']"
2018 Citizen Satisfaction Survey,Services and Amenities,official,0,22,0,82,The City of Calgary,Customer Service and Communications,null,null,null,No,"['service value', 'services', 'satisfaction', 'citizen satisfaction', 'surveys']"
2018 Snow and Ice Requests in Communities (Bylaw),Services and Amenities,official,0,1,0,44,The City of Calgary,Customer Service and Communications,null,Daily,2012-present,Yes,null
"2018 Snow and Ice Requests in Communities (Bylaw, Parks, Roads)",Services and Amenities,official,0,1,0,44,The City of Calgary,Customer Service and Communications,null,Daily,2012-present,Yes,null
2018 Snow and Ice Requests in Wards (Bylaw),Services and Amenities,official,0,1,0,30,The City of Calgary,Customer Service and Communications,null,Daily,2012-present,Yes,null
"2018 Snow and Ice Requests in Wards (Bylaw, Parks, Roads)",Services and Amenities,official,0,1,0,27,The City of Calgary,Customer Service and Communications,null,Daily,2012-present,Yes,null
2018 Traffic Volume Flow Map,Transportation/Transit,official,0,17,0,1316,The City of Calgary,Transportation Planning,null,null,null,Yes,null
2018 Vote of the Electors Unofficial Results,Government,official,0,222,0,2291,The City of Calgary,City Clerk's Office,null,None,null,null,"['vote', 'voting', 'plebiscite']"
2018 Vote of the Electors Unofficial Results by Ward,Government,official,0,205,0,221,The City of Calgary,City Clerk's Office,null,null,null,null,"['vote', 'voting', 'plebiscite']"
2018 Water Main Breaks,Environment,official,0,9,0,133,The City of Calgary,Water Resources and Water Services,null,Weekly - Monday,null,Yes,null
2019 Assessed Property Values,null,official,0,815,2,2529,null,null,null,null,null,null,null
2019 Black Cart Composition Data Lens,Help and Information,official,0,1,0,79,null,null,null,null,null,null,null
2019 Traffic Volume Flow Map,Transportation/Transit,official,0,0,0,18,The City of Calgary,Transportation Planning,null,None,null,Yes,null
2020 Assessed Property Values,null,official,0,236,0,1041,The City of Calgary,Assessment,null,Weekly,2005-present,null,"['assessment', 'assessed value', 'property', 'value']"
2020 Traffic Counts at Permanent Stations,Transportation/Transit,official,0,34,0,279,The City of Calgary,Transportation Planning,null,Monthly,null,null,"['counts', 'volumes', 'traffic', 'car', 'vehicle']"
2028 RTM Road Network Scenario,null,official,0,92,0,81,null,null,null,null,null,null,null
2039 RTM Road Network Scenario,null,official,0,38,0,30,null,null,null,null,null,null,null
2048 RTM Road Network Scenario,null,official,0,63,0,51,null,null,null,null,null,null,null
2076 RTM Road Network Scenario,null,official,0,35,0,40,null,null,null,null,null,null,null
311 Call Centre,Government,official,0,1364,0,1197,The City of Calgary,Customer Service and Communications,null,Daily,null,No,['citizen-dashboard']
311 Call Centre Data - Annual View,Government,official,0,618,0,291,null,null,null,null,null,null,['citizen-dashboard']
311 Call Centre Data - Daily View,Government,official,0,628,0,214,null,null,null,null,null,null,['citizen-dashboard']
311 Customer Satisfaction Survey,Government,official,0,109,0,263,The City of Calgary,Customer Service and Communications,null,Annual,null,null,['citizen-dashboard']
311 Service Requests - Current Year,Services and Amenities,official,0,64,0,92,The City of Calgary,Customer Service and Communications,null,Daily,null,Yes,"['311', 'sr', 'call']"
311 Service Requests,Services and Amenities,official,0,226,0,1077,The City of Calgary,Customer Service and Communications,null,Daily,2012-present,Yes,"['311', 'service', 'request', 'sr', 'call']"
311 Service Requests by Community,Services and Amenities,official,0,0,0,124,The City of Calgary,Customer Service and Communications,null,Daily,2012-present,Yes,null
364k-ejzz00,null,official,0,73,0,62,null,null,null,null,null,null,null
3D Buildings,Base Maps,official,0,245,0,943,The City of Calgary,Corporate Analytics and Innovation,LiDAR,None,2012-10-17 to 2013-06-09,Yes,"['building', '3d']"
5311 Call Centre - Raw dataset,null,official,0,422,0,172,The City of Calgary,Calgary Building Services,null,null,null,null,null
About,Help and Information,official,0,8,0,12521,The City of Calgary,Corporate Analytics and Innovation,null,null,null,null,"['about', 'contact', 'contacts', 'contact information', 'information']"
Accessible Pedestrian Traffic Signals,Health and Safety,official,0,17,0,89,The City of Calgary,Roads,null,Daily,null,Yes,null
Air Quality Index,Environment,official,0,460,0,277,Other,Other - Not City of Calgary,null,Monthly,1980-Present (no 1981 data),Yes,"['air', 'quality', 'historical', 'station', 'aqhi', 'parameter']"
Air Quality Index over time,Environment,official,0,8,0,975,null,null,null,null,null,null,null
Airport Vicinity Protection Area,null,official,0,1,0,43,The City of Calgary,Calgary Building Services,null,Irregular,null,Yes,null
Airport Vicinity Protection Area,null,official,0,100,0,161,The City of Calgary,Calgary Building Services,null,Irregular,null,Yes,"['airport', 'avpa', 'nef']"
Alberta Open Data Portals,Government,official,0,201,0,2430,The City of Calgary,Other - Not City of Calgary,null,Irregular,null,Yes,"['open data', 'government', 'calgary', 'portal', 'alberta']"
Alberta Open Data Portals,Government,official,0,57,0,1150,null,null,null,null,null,null,null
Alberta Open Data Portals Map View,Government,official,0,605,0,2193,null,null,null,null,null,null,"['open data', 'government', 'calgary', 'portal', 'alberta']"
Alberta Township Sections,Base Maps,official,0,82,0,8,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,null
Alberta Township Sections,Base Maps,official,0,604,0,10169,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,"['section grid', 'ats', 'land survey']"
Annual Bicycle Counts,Transportation/Transit,official,0,172,0,653,The City of Calgary,Transportation Planning,Manual ,Annual,2013-2016,Yes,"['bicycle', 'bike', 'count']"
Annual Building Permit Values,Business and Economic Activity,official,0,4,0,156,null,null,null,null,null,null,null
Annual Corporate Energy Use by Bus Units,Environment,official,0,0,0,70,The City of Calgary,Corporate Analytics and Innovation,null,Monthly,2014 - Present,No,null
Annual count of unoccupied dwellings,Demographics,official,0,5,0,78,The City of Calgary,City Clerk's Office,null,Annually,1997-present,null,null
Annual crime statistics per community,Health and Safety,official,0,502,0,503,null,null,null,null,null,null,null
Annual Dwelling Count by Dwelling Type,Demographics,official,0,8,0,155,The City of Calgary,City Clerk's Office,null,Annually,1997-present,null,null
Annual Economic Indicators,Business and Economic Activity,official,0,64,0,307,The City of Calgary,Finance,null,Annual,null,No,"['unemployment', 'wage', 'building permits', 'housing starts', 'retail sales', 'inflation rate']"
Annual Pedestrian Injuries by Type,Health and Safety,official,0,14,0,191,Other,Other - Not City of Calgary,null,null,null,null,null
Annual Rainfall by Channel,Environment,official,0,13,0,1762,null,null,null,null,null,null,null
Annual Resident Count by Dwelling Type,Demographics,official,0,4,0,65,The City of Calgary,City Clerk's Office,null,Annually,1997-present,null,null
Annual residential and non-residential building permit values,Business and Economic Activity,official,0,1377,0,1829,The City of Calgary,Calgary Building Services,null,null,null,null,null
Annual Solar Energy Production,Environment,official,0,3,0,165,The City of Calgary,Corporate Analytics and Innovation,null,Daily,null,null,null
Annual wildlife sightings requests,Services and Amenities,official,0,3,0,131,The City of Calgary,Customer Service and Communications,null,Daily,2012-present,Yes,null
Appeals by Property Use,Government,official,0,9,0,49,The City of Calgary,City Clerk's Office,null,Annual,2013-Present,Yes,null
ARB Annual Stats,Government,official,0,5,0,98,The City of Calgary,City Clerk's Office,null,Annual,2013-Present,Yes,null
ARB Complaints by Community,Government,official,0,14,0,74,The City of Calgary,City Clerk's Office,null,Annual,2013-Present,Yes,null
ARB Data Lens,Government,official,0,10,0,179,null,null,null,null,null,null,null
Assessment Review Board Complaints,Government,official,0,91,0,526,The City of Calgary,City Clerk's Office,null,Annual,2013-Present,Yes,"['assessment', 'arb', 'property', 'business', 'residential', 'commercial', 'appeal', 'carb', 'larb']"
Assessment Review Board Decisions from Year to Year,Government,official,0,31,0,108,The City of Calgary,City Clerk's Office,null,Annual,2013-Present,Yes,"['assessment', 'arb', 'property', 'business', 'residential', 'commercial', 'appeal']"
Assessments by Community,Government,official,0,245,0,1030,The City of Calgary,Assessment,null,null,null,null,['citizen-dashboard']
Assessments By Community Data Lens,Government,official,0,21,0,830,null,null,null,null,null,null,null
Asset Inventory Public,null,official,0,1007,0,553,null,null,null,null,null,null,null
Average # Crimes Per # Residents in Community,Health and Safety,official,0,10,0,1245,null,null,null,null,null,null,null
Average Daily Air Parameter Values,Environment,official,0,8,0,312,Other,Other - Not City of Calgary,null,Monthly,1980-Present (no 1981 data),Yes,null
Bike and Pedestrian Counts,Transportation/Transit,official,0,153,0,868,The City of Calgary,Transportation Planning,Sensors set up at various locations,Annual,null,Yes,"['bike', 'peds', 'pedestrian', 'daily']"
Bike and Pedestrian Counts Locations,Transportation/Transit,official,0,3,0,111,The City of Calgary,Transportation Planning,null,Irregular,null,Yes,null
Bike and Pedestrian Counts Monitoring Locations,Transportation/Transit,official,0,24,0,92,The City of Calgary,Transportation Planning,null,Irregular,null,Yes,"['location', 'monitoring', 'counter']"
Bike Traffic Count,Transportation/Transit,official,0,7,0,207,null,null,null,null,null,null,null
Blue cart collection days,Services and Amenities,official,0,19,0,7723,The City of Calgary,Waste and Recycling Services,null,Daily,null,Yes,null
Blue Cart Satisfaction Bar Chart,null,official,0,1,0,38,null,null,null,null,null,null,null
Bridge map,Transportation/Transit,official,0,18,0,129,The City of Calgary,Roads,null,Monthly,null,Yes,null
Bridges,Transportation/Transit,official,0,201,0,304,The City of Calgary,Roads,null,Monthly,null,Yes,"['bridge', 'width', 'length']"
Building Permit Locations,Business and Economic Activity,official,0,22,0,1283,null,null,null,null,null,null,null
Building Permit Values by Community,Business and Economic Activity,official,0,20,0,2457,The City of Calgary,Calgary Building Services,null,null,null,null,null
Building Permits,Business and Economic Activity,official,0,3784,0,34442,The City of Calgary,Calgary Building Services,null,Daily,null,Yes,"['building', 'construction', 'housing', 'real', 'estate', 'permit']"
Building Permits by Community,Business and Economic Activity,official,0,23,0,1180,null,null,null,null,null,null,null
Building Permits Issued per Year,Business and Economic Activity,official,0,10,0,2736,null,null,null,null,null,null,null
Buildings,Base Maps,official,0,78,0,262,The City of Calgary,Corporate Analytics and Innovation,"Derived from aerial photos, DAS products show surface features and topography to within an accuracy of 15 centimetres vertically and horizontally.",Annual,null,Yes,['facilities']
Business Revitalization Zones,Business and Economic Activity,official,0,150,0,499,The City of Calgary,Planning and Development,manual,Monthly,null,Yes,"['brz', 'bia']"
Business Revitalization Zones,Business and Economic Activity,official,0,27,0,17,The City of Calgary,Planning and Development,manual,Monthly,null,Yes,null
Calgary Bike and Scooter Share,Transportation/Transit,official,0,0,0,820,The City of Calgary,Transportation Planning,null,Irregular,null,null,"['bike', 'cycle', 'cycl', 'mobil', 'bicycle', 'bikeshare']"
Calgary Bikeways,Transportation/Transit,official,0,65,0,33,The City of Calgary,Transportation Planning,manual,Weekly,null,Yes,null
Calgary Bikeways,Transportation/Transit,official,0,662,0,1832,The City of Calgary,Transportation Planning,manual,Weekly,null,Yes,"['bike', 'transportation', 'cycle']"
Calgary Business Licences,Business and Economic Activity,official,0,4864,0,29423,The City of Calgary,Calgary Community Standards,null,Daily,null,Yes,"['license', 'business', 'licence']"
Calgary Business Licences Map,Business and Economic Activity,official,0,2,0,223,The City of Calgary,Calgary Community Standards,null,Monthly,null,Yes,null
Calgary Business Licenses Data Lens,Business and Economic Activity,official,0,24,0,7780,The City of Calgary,Calgary Approvals Coordination,null,null,null,Yes,"['license', 'business']"
Calgary Business Licenses Map,Business and Economic Activity,official,0,1174,0,4136,The City of Calgary,Calgary Approvals Coordination,null,null,null,Yes,"['license', 'business']"
Calgary Fire Stations,Health and Safety,official,0,422,0,831,The City of Calgary,Calgary Fire Department,manual,weekly,null,Yes,null
Calgary Health Clinics and Hospitals,Services and Amenities,official,0,20,0,850,null,null,null,null,null,null,null
Calgary Language Community Map,null,official,0,2,0,455,null,null,null,null,null,null,null
Calgary Language Ward Map,null,official,0,0,0,75,null,null,null,null,null,null,null
Calgary Park and Bike Map,Transportation/Transit,official,0,16,0,549,null,null,null,null,null,null,null
Calgary Park and Bike Map 2,Transportation/Transit,official,0,436,0,271,The City of Calgary,Transportation Planning,null,As required,null,Yes,"['bicycle', 'bike', 'parking']"
Calgary Park and Bike Sites,Transportation/Transit,official,0,167,0,848,The City of Calgary,Transportation Planning,null,Irregular,null,Yes,"['bicycle', 'bike', 'parking']"
Calgary Parking Authority Lot Lights,Transportation/Transit,official,0,29,0,40,The City of Calgary,Other - Not City of Calgary,null,Weekly,null,Yes,"['cpa', 'parkplus']"
Calgary Parking Authority Lots,Transportation/Transit,official,0,49,0,74,The City of Calgary,Other Business Unit,null,Weekly,null,Yes,"['cpa', 'parkplus']"
Calgary Police Indicators - Numbers,Government,official,0,192,0,851,The City of Calgary,Calgary Police Service,null,None,null,No,"['collision', 'crime', 'disorder', 'casualty']"
Calgary Police Service Office Locations,Health and Safety,official,0,402,0,6718,The City of Calgary,Calgary Police Service,null,Monthly,null,Yes,"['police', 'police stations']"
Calgary Police Service Office Locations Map,Health and Safety,official,0,21,0,3566,null,null,null,null,null,null,null
Calgary Public Library Catchment Areas,Base Maps,official,0,21,0,0,Other,Other - Not City of Calgary,null,null,null,Yes,null
Calgary Public Library Catchment Areas,Base Maps,official,0,110,0,424,Other,Other - Not City of Calgary,null,null,null,Yes,['library']
Calgary Public Library Locations and Hours - Map,Recreation and Culture,official,0,618,0,3245,Other,Other - Not City of Calgary,null,null,null,Yes,"['library', 'location', 'hours']"
Calgary Public Library Locations and Hours,Recreation and Culture,official,0,395,0,10083,Other,Other - Not City of Calgary,null,null,null,Yes,"['library', 'location', 'hours']"
Calgary Public Library Program Information 2014,Recreation and Culture,official,0,103,0,74,Other,Other - Not City of Calgary,null,null,null,null,"['calgary public library', 'programs', '2014']"
Calgary Public Library Program Information 2015,Recreation and Culture,official,0,100,0,106,Other,Other - Not City of Calgary,null,null,null,null,"['library', 'tours', 'attendance']"
Calgary Public Library Tours And Outreach Program Attendance 2014,Recreation and Culture,official,0,98,0,128,Other,Other - Not City of Calgary,null,null,null,null,"['library', 'tours', 'attendance']"
Calgary Public Library Tours And Outreach Programs 2014,Recreation and Culture,official,0,126,0,82,Other,Other - Not City of Calgary,null,null,null,null,"['library', 'tours', 'attendance']"
Calgary Regional Transportation Model RTM Zones,Transportation/Transit,official,0,149,0,321,The City of Calgary,Transportation Planning,"Dataset is produced by Transportation Forecasting in partnership with Geodemographics.  Every few years the transportation zones are reviewed to ensure reasonable alignment with community boundaries, new roads, and other features.",Irregular,2015 - 2076,Yes,"['transportation', 'analysis', 'zones', 'tz', 'taz', 'rtm', 'rtmv2']"
Calgary Restaurant Inspections,Health and Safety,official,0,0,0,2651,Other,Other - Not City of Calgary,null,None,null,null,"['restaurant', 'inspection', 'report', 'food', 'violation']"
Calgary RTM Zones,Transportation/Transit,official,0,18,0,146,null,null,null,null,null,null,null
Calgary Seniors Directory,Services and Amenities,official,0,212,0,840,The City of Calgary,Calgary Community Standards,null,null,null,null,"['services', 'seniors', 'organizations', 'addiction', 'legal']"
Calgary Seniors Directory Data Lens,Services and Amenities,official,0,27,0,1072,The City of Calgary,Calgary Community Standards,null,null,null,Yes,"['services', 'seniors', 'organizations', 'addiction', 'legal']"
Calgary Seniors Directory Map,Services and Amenities,official,0,545,0,235,The City of Calgary,Calgary Community Standards,null,null,null,null,"['services', 'seniors', 'organizations', 'addiction', 'legal']"
Calgary Seniors Directory Service Categories Pie Chart,Services and Amenities,official,0,472,0,123,The City of Calgary,Calgary Community Standards,null,null,null,null,"['services', 'seniors', 'organizations', 'addiction', 'legal']"
Calgary Seniors Directory Services Count Bar Graph,Services and Amenities,official,0,442,0,157,The City of Calgary,Calgary Community Standards,null,null,null,null,"['services', 'seniors', 'organizations', 'addiction', 'legal']"
Calgary Transit Access- Perceptions bar,Transportation/Transit,official,0,464,0,430,null,null,null,null,null,null,['citizen-dashboard']
Calgary Transit Access- Satisfaction column,null,official,0,452,0,149,,,,,,,['citizen-dashboard']
Calgary Transit Realtime Service Alerts GTFS-RT,Transportation/Transit,official,0,4500033,0,678,The City of Calgary,Calgary Transit,null,Continuous,null,null,"['transit', 'schedules', 'calendar', 'bus', 'trains', 'gtfs']"
Calgary Transit Realtime Trip Updates GTFS-RT,Transportation/Transit,official,0,17594660,0,790,The City of Calgary,Calgary Transit,null,Continuous,null,null,"['transit', 'schedules', 'calendar', 'bus', 'trains', 'gtfs', 'gtfs-rt']"
Calgary Transit Realtime Vehicle Positions GTFS-RT,Transportation/Transit,official,0,23850104,0,1268,The City of Calgary,Calgary Transit,null,Continuous,null,null,"['transit', 'schedules', 'calendar', 'bus', 'trains', 'gtfs']"
Calgary Transit Ridership,Transportation/Transit,official,0,71,0,530,The City of Calgary,Calgary Transit,null,Monthly,2007-Present,No,"['ridership', 'trips', 'boardings', 'riders']"
Calgary Transit Routes,Transportation/Transit,official,0,861,0,2366,The City of Calgary,Calgary Transit,null,Quarterly,null,Yes,"['bus', 'lrt', 'brt', 'route', 'gtfs']"
Calgary Transit Routes,Transportation/Transit,official,0,16,0,624,The City of Calgary,Calgary Transit,null,null,null,null,null
Calgary Transit Routes and Stops,Transportation/Transit,official,0,21,0,728,The City of Calgary,Calgary Transit,null,null,null,null,null
"Calgary Transit Scheduling Data (June 6-Sept 2, 2018)",Transportation/Transit,official,0,174,0,102,The City of Calgary,Calgary Transit,null,None,"June 6-Sept 2, 2018",No,null
"Calgary Transit Scheduling Data (May 8-June 23, 2019)",Transportation/Transit,official,0,142,0,70,The City of Calgary,Calgary Transit,null,None,"May 8 - June 23, 2019",No,null
Calgary Transit Scheduling Data,Transportation/Transit,official,0,294210,0,3279,The City of Calgary,Calgary Transit,null,Quarterly,null,null,"['transit', 'schedules', 'calendar', 'bus', 'trains', 'gtfs']"
Calgary Transit Stops,Transportation/Transit,official,0,486,0,1167,The City of Calgary,Calgary Transit,null,Quarterly,null,Yes,"['bus', 'lrt', 'stop', 'station', 'gtfs']"
"Calgary's Population, 1958-2019",Demographics,official,0,9,0,10025,The City of Calgary,City Clerk's Office,null,null,1958-present,null,null
Calgary.ca Web Analytics Past 30 Days,Help and Information,official,0,82,0,201,The City of Calgary,Customer Service and Communications,null,Daily,Last 30 days,null,"['web', 'analytics', 'traffic', 'calgary.ca', 'webpage', 'page']"
Calgary.ca Web Analytics Past 7 Days,Help and Information,official,0,114,0,184,The City of Calgary,Customer Service and Communications,null,Daily,Last 7 days,null,"['web', 'analytics', 'traffic', 'calgary.ca', 'webpage', 'page']"
Calgary.ca Web Analytics Top Downloads Past 30 Days,Help and Information,official,0,81,0,271,The City of Calgary,Customer Service and Communications,null,Daily,Last 30 days,null,"['web', 'analytics', 'traffic', 'calgary.ca', 'webpage', 'page', 'download']"
Calgary.ca Web Analytics Yesterday,Help and Information,official,0,101,0,202,The City of Calgary,Customer Service and Communications,null,Daily,Yesterday,null,"['web', 'analytics', 'traffic', 'calgary.ca', 'webpage', 'page']"
Cats and Dogs Adopted,Services and Amenities,official,0,6,0,67,The City of Calgary,Calgary Community Standards,null,Monthly,Jan. 2012-Present,Yes,null
CBD Cordon Auto Occupancy Count (inbound and outbound) 2016,Transportation/Transit,official,0,445,0,84,The City of Calgary,Transportation Planning,null,null,null,Yes,"['cordon', 'count', '2016', 'business', 'district']"
Cemetery Burial Records,Services and Amenities,official,0,792,0,591,The City of Calgary,Calgary Parks,null,null,null,Yes,"['interment', 'burial', 'cemetery', 'name']"
Cemetery Burial Records,Services and Amenities,official,0,610,0,5949,The City of Calgary,Calgary Parks,null,Daily,null,Yes,"['interment', 'burial', 'cemetery', 'name']"
Cemetery Burial Records Map,Services and Amenities,official,0,21,0,1980,null,null,null,null,null,null,null
Census By Community 1999,Demographics,official,0,35,0,1,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Community 1999,Demographics,official,0,57,0,323,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'community']"
Census By Community 2000,Demographics,official,0,60,0,330,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'community']"
Census By Community 2000,Demographics,official,0,30,0,4,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Community 2001,Demographics,official,0,62,0,371,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'community']"
Census By Community 2001,Demographics,official,0,33,0,1,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Community 2002,Demographics,official,0,20,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Community 2002,Demographics,official,0,52,0,285,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'community']"
Census By Community 2003,Demographics,official,0,25,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Community 2003,Demographics,official,0,51,0,305,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'community']"
Census By Community 2004,Demographics,official,0,21,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Community 2004,Demographics,official,0,46,0,173,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'community']"
Census By Community 2005,Demographics,official,0,27,0,1,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Community 2005,Demographics,official,0,61,0,271,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'community']"
Census By Community 2006,Demographics,official,0,46,0,2,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Community 2006,Demographics,official,0,113,0,470,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'community']"
Census By Community 2007,Demographics,official,0,57,0,113,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'community']"
